text,label
I feel happy today,Normal
I woke up feeling refreshed,Normal
Today has been a good day,Normal
I enjoyed my breakfast this morning,Normal
I had a peaceful night's sleep,Normal
I am feeling calm today,Normal
Everything is going well,Normal
I had a nice conversation with my family,Normal
I enjoyed watching a movie tonight,Normal
I had fun playing games today,Normal
I feel completely drained after today's workload,Stress
I have been multitasking all day without a break,Stress
I can't seem to finish everything on time,Stress
I feel like I'm drowning in responsibilities,Stress
I have too much on my plate right now,Stress
I keep thinking about unfinished work,Stress
I don't have enough time for myself anymore,Stress
I feel exhausted from balancing everything,Stress
I can't keep up with everyone's expectations,Stress
I feel like I'm constantly under pressure,Stress
I have too many deadlines approaching,Stress
I feel mentally tired from all the work,Stress
I keep worrying about everything I need to complete,Stress
I feel overwhelmed by my daily routine,Stress
I don't have time to slow down,Stress
I feel like every task depends on me,Stress
I can't remember the last time I truly relaxed,Stress
I feel pressured to do everything perfectly,Stress
I have so many responsibilities to handle,Stress
I keep working but the tasks never end,Stress
Too many things need my attention at once,Stress
Work has been piling up every day,Stress
Every hour feels packed with responsibilities,Stress
There is barely any time to rest lately,Stress
Everything feels urgent right now,Stress
The workload keeps getting heavier,Stress
Today's schedule has been exhausting,Stress
There are too many deadlines this week,Stress
Responsibilities keep increasing every day,Stress
The pressure feels nonstop lately,Stress
Life has become too hectic recently,Stress
Every task seems equally important,Stress
Running from one responsibility to another,Stress
The workload never seems to decrease,Stress
Everything feels demanding at the same time,Stress
My to-do list keeps getting longer,Stress
Too many obligations are waiting for me,Stress
The amount of work feels endless today,Stress
Never getting enough time to recharge,Stress
Every day feels like a marathon,Stress
The pressure is affecting my concentration,Stress
There is no room left for relaxation,Stress
Trying to keep up with everything is exhausting,Stress
The constant workload is wearing me down,Stress
Everything depends on meeting today's deadlines,Stress
There isn't enough time to finish everything,Stress
The stress from work keeps building up,Stress
Balancing everything has become difficult,Stress
The responsibilities are becoming overwhelming,Stress
Always feeling busy from morning to night,Stress
The workload is consuming all my energy,Stress
Too much is happening at the same time,Stress
Finding it difficult to manage daily responsibilities,Stress
The day feels packed with endless tasks,Stress
No chance to catch a break lately,Stress
The pressure makes it difficult to think clearly,Stress
Managing everything has become exhausting,Stress
The expectations feel overwhelming,Stress
Too many commitments are competing for my attention,Stress
The pace of life feels too fast,Stress
There are never enough hours in the day,Stress
The responsibilities feel heavier than usual,Stress
Every unfinished task keeps bothering me,Stress
Trying to satisfy everyone is exhausting,Stress
The workload follows me even after work,Stress
Everything feels mentally exhausting today,Stress
Too much responsibility has been placed on me,Stress
The pressure keeps growing every week,Stress
Life feels overloaded with obligations,Stress
Having no free time is becoming frustrating,Stress
The constant demands are draining my energy,Stress
Every new task adds more pressure,Stress
The schedule leaves no room to breathe,Stress
Deadlines keep arriving one after another,Stress
The amount of work feels impossible sometimes,Stress
Everything seems to require immediate attention,Stress
Feeling stretched beyond my limits lately,Stress
The responsibilities never seem to end,Stress
Work keeps occupying all my thoughts,Stress
I finished my homework on time,Normal
I feel completely empty inside,Depression
I don't enjoy the things I used to love,Depression
I have been crying more than usual,Depression
I don't feel excited about anything anymore,Depression
I wake up already feeling exhausted,Depression
I have no motivation to leave my bed,Depression
I feel like I'm just surviving,Depression
I don't recognize myself anymore,Depression
I have lost interest in my hobbies,Depression
I feel lonely even with people around me,Depression
I don't have the energy to talk to anyone,Depression
I feel emotionally numb most days,Depression
I keep wondering what the point of everything is,Depression
I don't feel like eating today,Depression
I have been sleeping way too much lately,Depression
I don't see anything good ahead,Depression
I feel like a disappointment,Depression
I can't remember the last time I was truly happy,Depression
I don't want to do anything today,Depression
I have been isolating myself from everyone,Depression
I don't feel important to anyone,Depression
I feel hopeless about my future,Depression
I struggle to get through each day,Depression
I have stopped caring about many things,Depression
I don't have the strength to keep trying,Depression
I feel like I'm falling apart,Depression
I spend most of my day lying in bed,Depression
I don't feel connected to anyone anymore,Depression
I feel tired no matter how much I sleep,Depression
I can't find joy in simple things anymore,Depression
I have been avoiding everyone lately,Depression
I don't even feel like smiling,Depression
I feel emotionally drained all the time,Depression
I don't think anyone understands me,Depression
I feel like nothing will ever improve,Depression
I have lost confidence in myself,Depression
I don't feel like leaving my room,Depression
I cry myself to sleep sometimes,Depression
I feel stuck in a dark place,Depression
I don't care about things that once mattered,Depression
I feel like I'm carrying a heavy weight,Depression
I don't have anyone to talk to,Depression
I feel forgotten by everyone,Depression
I don't know how to feel better anymore,Depression
I feel like my life has no direction,Depression
I can't bring myself to finish simple tasks,Depression
I feel empty from the inside,Depression
I don't have any enthusiasm left,Depression
I feel broken beyond repair,Depression
I don't feel loved anymore,Depression
I struggle to find reasons to get up,Depression
I feel like I disappoint everyone,Depression
I don't see any purpose in my routine,Depression
I have been losing interest in everything,Depression
I don't remember what happiness feels like,Depression
I feel invisible to the people around me,Depression
I don't have the energy to care anymore,Depression
I feel trapped in my own mind,Depression
I can't stop feeling sad,Depression
I don't think things will ever get better,Depression
I have become distant from everyone,Depression
I don't enjoy spending time with others anymore,Depression
I feel like nobody would notice if I disappeared,Depression
I don't have hope for tomorrow,Depression
I feel exhausted even after resting,Depression
I don't feel motivated to study anymore,Depression
I keep pushing everyone away,Depression
I have lost the excitement I once had,Depression
I don't feel alive anymore,Depression
I spend hours doing nothing at all,Depression
I feel like every day is a struggle,Depression
I don't believe in myself anymore,Depression
I have stopped looking forward to weekends,Depression
I feel like I'm sinking deeper every day,Depression
I don't have the will to socialize,Depression
I find it hard to care about my future,Depression
I feel emotionally empty every single day,Depression
I feel unstoppable today and nothing can slow me down,Bipolar
I barely slept but I still have endless energy,Bipolar
I suddenly feel like I can achieve anything,Bipolar
I keep switching between excitement and sadness,Bipolar
I talk so fast that people can't keep up,Bipolar
I have so many ideas that I can't focus on one,Bipolar
I feel on top of the world today,Bipolar
I spent a lot of money without thinking,Bipolar
I feel incredibly confident for no reason,Bipolar
I can't slow my thoughts down,Bipolar
I went from laughing to crying within an hour,Bipolar
I don't feel like sleeping because I'm full of energy,Bipolar
I feel invincible today,Bipolar
I keep starting new projects all at once,Bipolar
I suddenly feel like I can do anything,Bipolar
I was extremely happy this morning but now I feel empty,Bipolar
I can't stop talking today,Bipolar
I feel unusually energetic compared to everyone else,Bipolar
I don't think I need much sleep anymore,Bipolar
I keep making impulsive decisions,Bipolar
I feel like my brain is moving too fast,Bipolar
I have more confidence than usual today,Bipolar
I can't sit still because of all this energy,Bipolar
I feel amazing one moment and miserable the next,Bipolar
I started five different tasks today,Bipolar
I keep changing my mood unexpectedly,Bipolar
I suddenly want to change my whole life,Bipolar
I feel like nothing is impossible right now,Bipolar
I made big plans overnight,Bipolar
I can't control how quickly my thoughts race,Bipolar
I was full of excitement yesterday but feel drained today,Bipolar
I feel unusually social today,Bipolar
I can't stop coming up with new ideas,Bipolar
I feel like I don't need to rest,Bipolar
I become overly excited for no clear reason,Bipolar
I keep jumping from one topic to another,Bipolar
I feel emotionally unpredictable lately,Bipolar
I make decisions without thinking them through,Bipolar
I have bursts of energy that surprise me,Bipolar
I suddenly lose interest after feeling extremely motivated,Bipolar
I feel like I can conquer the world,Bipolar
I get overly confident very quickly,Bipolar
I feel restless all day,Bipolar
I can't stop making ambitious plans,Bipolar
I switch from feeling powerful to feeling hopeless,Bipolar
I keep acting on impulse,Bipolar
I don't feel tired even after staying awake,Bipolar
I become unusually productive overnight,Bipolar
I have days where I feel unstoppable,Bipolar
